date,region,primary_carrier,avg_dispatch_delay_hours,otif_percentage,transit_damage_claims,warehouse_stockout_flag
2026-08-07,South,RegionalLogistics_C,2.4,92.6,4,0
2026-08-08,West,RegionalLogistics_C,2.4,92.4,3,0
2026-08-08,East,FastExpress_Carrier_A,2.3,93.8,2,0
2026-08-08,North,BlueDart_Carrier_B,2.5,92.6,2,0
2026-08-08,South,FastExpress_Carrier_A,2.3,97.3,2,0
2026-08-09,West,RegionalLogistics_C,1.9,93.4,2,0
2026-08-09,East,FastExpress_Carrier_A,2.0,96.2,1,0
2026-08-09,North,RegionalLogistics_C,3.1,95.5,4,0
2026-08-09,South,RegionalLogistics_C,2.9,94.5,3,0
2026-08-10,West,BlueDart_Carrier_B,2.2,94.4,4,0
2026-08-10,East,BlueDart_Carrier_B,2.7,96.4,1,0
2026-08-10,North,FastExpress_Carrier_A,2.5,93.7,4,0
2026-08-10,South,RegionalLogistics_C,1.9,96.6,1,0
2026-08-11,West,BlueDart_Carrier_B,3.0,96.7,4,0
2026-08-11,East,BlueDart_Carrier_B,2.6,97.2,1,0
2026-08-11,North,BlueDart_Carrier_B,3.1,95.1,2,0
2026-08-11,South,BlueDart_Carrier_B,2.6,94.8,1,0
2026-08-12,West,RegionalLogistics_C,1.9,96.9,3,0
2026-08-12,East,FastExpress_Carrier_A,1.9,95.6,1,0
2026-08-12,North,BlueDart_Carrier_B,2.8,97.5,2,0
2026-08-12,South,BlueDart_Carrier_B,2.3,93.6,4,0
2026-08-13,West,FastExpress_Carrier_A,2.8,92.3,3,0
2026-08-13,East,BlueDart_Carrier_B,2.3,95.1,4,0
2026-08-13,North,BlueDart_Carrier_B,2.2,96.7,2,0
2026-08-13,South,BlueDart_Carrier_B,1.9,95.6,3,0
2026-08-14,West,FastExpress_Carrier_A,3.2,95.8,4,0
2026-08-14,East,RegionalLogistics_C,2.6,97.2,3,0
2026-08-14,North,RegionalLogistics_C,2.3,96.4,2,0
2026-08-14,South,RegionalLogistics_C,2.8,97.2,1,0
